# Pack: @emojis_premium1
# Set ID: 1038854564851220419
# Short name: tgsemoji112
# Emojis: 196
# Saved: 20260806_172635
🇬🇦	5294404137079813976
🇫🇷	5294324697364707139
🇫🇮	5292088630016227941
🇫🇯	5294307040754157008
🇪🇹	5294512168392209285
🇪🇪	5294406580916207129
🇬🇶	5294232686280325366
🏴󠁧󠁢󠁥󠁮󠁧󠁿	5294098112070039755
🇸🇻	5291933873754616525
🇪🇬	5292168898660021541
🇪🇨	5294034005388180164
🇹🇱	5292026151126970843
🇩🇴	5291962040150145704
🇩🇲	5292080314959543164
🇩🇯	5291791985215026199
🇩🇰	5294524868610505865
🇨🇾	5292256812345604723
🇭🇷	5294379818974983811
🇨🇷	5294360221039211867
🇨🇬	5292182775699355868
🇨🇩	5294524718286648684
🇰🇲	5294064022914611434
🇨🇴	5294323009442559993
🇨🇱	5291837722321762793
🇨🇿	5294420372056194185
🇹🇩	5291961301415772318
🇨🇫	5294120372885536804
🇨🇻	5294466272371686676
🇨🇦	5292023956398684554
🇨🇲	5294089569380088333
🇰🇭	5294018354527353443
🇧🇮	5292178265983695853
🇧🇫	5292036948674754260
🇧🇬	5294009549844398897
🇧🇳	5292093668012865550
🇧🇼	5291869986116090404
🇧🇦	5294316730200375501
🇧🇴	5294033743395176282
🇧🇹	5294257004385155104
🇧🇯	5294279724762151165
🇧🇿	5294192678659969543
🇧🇪	5294255703010064221
🇧🇧	5294290943216727979
🇧🇩	5294500851153385168
🇧🇭	5294282555145598445
🇧🇸	5294068987896806041
🇦🇹	5292285751835244257
🇦🇺	5293988654828502400
🇦🇷	5294179501700298684
🇦🇬	5292270732334611090
🇦🇴	5292213828312905338
🇦🇩	5292244112127309992
🇩🇿	5294286064133879533
🇦🇱	5294250613473820536
🇦🇫	5294096544406976986
🇿🇼	5292167442666110763
